,Product,Count
211,display.product*pbr_3071*botinsemcamurcabordeauxesaltostiletto-paulobrandao,2
212, 2438,1
213,/?gclid+cirbhbrp0q0cfqipfaod20mttw,1
214, roomba,1
215, display.product*pbr_3090*botasdecanoaltoempeletaupe-paulobrandao,5
216, $display.product*ljv_0294*$$scarab$$robot$,1
217, /catalog/products.php?cat+6,1
218, order.finalized*900000080*order.subtotal*77.70,1
219, display.product*eas_0104*botimzebra-egidioalves,5
220, /sales/order/view/order_id/2749/,1
221, 2853,1
222,malas,4
223, /ljv-contacts?t+k548slijhc7cj0s6mm58yot6hnl814bj&c+ljv%2apdd26012012,1
224, cart.addproduct*ljv_0227*94.9000,1
225, 4002,2
226, display.product*cdz_0008*botascanoaltocastanhas-codizo,2
227, /?gclid+ckmf9d_5vq0cfsehtaodoi3eaw,1
228, display.product*ljv_0314*roomba564pet-especialmenteconcebidoparapelodeanimal,1
229, display.product*lon_4101*botinesopentoeenpieliris-luisonofre,2
230, newsletter.subscription*inmagarcia69@hotmail.com,1
231, display.product*aeg_0007*homecinema,2
232, /customer/account/index/?___store+tlg,1
233, /sales/order/view/order_id/2576/,1
234, display.product*ljv_0170*saunaindividual,3
235, display.product*lon_4101*irisleatheropentoebooties-luisonofre,4
236, display.product*ljv_0503*quirky-cordlets,1
237,display.product*ljv_0202*drikingludo-jogotradicionalludocomcopos,1
238,display.product*tlg_0048*geltensoranti-papos,1
239, display.product*ljv_0297*bracorobotico,3
240, order.finalized*300001270*order.subtotal*160.00,1
241, 0204,1
242,display.product*lon_4402*sabrinasempelopretoecristaisswarovski-luisonofre,2
243, /?gclid+co_a3uuvwa0cfuupfaodnj9lag,1
244, order.subtotal*148*order.incrementid*1500000463,1
245, resurfacante,1
246, 4102,2
247, pumpseopentoes,123
248, display.product*ljv_0419*vectordieselpower,1
249, caixahd,1
250, /?t+2ung7cmf3ec1r4hqhhu0s572g2r5vbza&c+lon%2apdd29122011,1
251, 2144,1
252, display.product*tlg_0041*aguamicelardesmaquilhante,1
253, cart.addproduct*lon_4501*233.0000,1
254,display.product*ljv_0403*chuveiroc/ledsactivadospelatemperatura-ledshowerhead,1
255, botines,13
256, display.product*pbr_2035*botaspaulobrandaoemcamurcacastanhacomtirasesaltostiletto,2
257, 3203,2
258,productlegend*ljv_0530*link5,7
259, gelpernasleves,1
260, alcacobra,5
261, cmc_0004,1
262,lon_4505,1
263, viagemflexivel,5
264, /userfiles/file/painelsolar.pdf,1
265,3076,1
266, display.product*lon_4119*texturedpitonleatherbootieswithcrosseddetails-luisonofre,5
267, display.product*lon_4011*camelleatherpumps-luisonofre,2
268, display.product*lon_3503*mocasinesluisonofreentejanoycristalesswarovski,1
269, /?t+a22gq2lip3tqyqwz8zvoioro2g1iaxn5&c+lon%252apdd23012012,1
270, display.product*ljv_0039*micromosquitotelecomandado,2
271,ljv*remove*pdd,3
272, /botas/botas-de-salto/bota-em-pele-cinzenta-luis-onofre.html,1
273, chuveiro,1
274, display.product*ljv_0077*relogioautomaticocom3braceletesdiferentes,2
275, display.product*gio_0087*vestidodenoiva'laco'giorodrigues,1
276, display.product*ljv_0037*rctarantula-atarantulatelecomandadamaisrealista,3
277, display.product*ljv_0045*beertracker-oseuabre-caricascomcontadordigital,1
278, 2125,2
279, formulariodepedidodecontacto,1
280,/rev-brand,1
281, outono/inverno2010,48
282, display.product*aun_0006*carteirahuntertina-castanho-auntsanduncles,3
283, display.product*pbr_2037*botasemcamurcaazulecastanhacomapontamentodourado,2
284, display.product*tlg_0139*adelgacante/refirmante,1
285, display.product*lon_2216*botinscurtosopentoeluisonofreempeleglovy,3
286, /checkout/cart/,31
287, display.product*pls_0043*pumpsempelepretaevermelha,1
288, tables,1
289, /?gclid+cppyuohq0q0cfrihtaod4t4t2a,1
290, mosquetao,4
291, /?gclid+cnyiibguwa0cfwintaod92dc_q,1
292, display.product*hrl_2036*botascamelpespontadas-zetazipper,1
293, display.product*lon_3105*sandalialuisonofreempeleecristaisswarovski,1
294, fall/winter2010,6
295, cremenutricao,1
296, order.finalized*300001251*order.subtotal*177.00,1
297, /sales/order/view/order_id/2668/,1
298, 4509,1
299,display.product*ljv_0528*camaraipwirelessrotativac/infravermelhoseaudiobidireccional,9
300, display.product*cmc_0005*botinspretos-latinas,1
301, /rev-customer-support,1
302, /?gclid+cpudy9lg1k0cfucjfaod8h4qmg,1
303, brincos,2
304, /?gclid+cncqtp2q3a0cfvgkfaodwwn8oa,1
305, 2034,1
306, display.product*ljv_0481*contourpicatinnymount,1
307, /?gclid+ckr2poxu1k0cfcx_faodolkiua,1
308, display.product*ljv_0505*quirky-mantisclipontasklamp,1
309, display.product*lon_4010*pumpsdecunhaemcamurcapretaedetalhesdourados-luisonofre,9
310, protectores,1
311, /open-toe/pumps-e-pele-croco-castanho-luis-onofre.html,1
312, bem-estar,1
313, portanotas,1
314,/?gclid+co2anrad7q0cfqelfaodjarr7q,1
315, aromaceane,1
316, display.product*lon_3213*sandaliasluisonofreempelerosacomaplicacaoemtonsdeourorosaepluma,3
317, texteis,4
318, display.product*lon_4216*botasdemontarenpielcamel-luisonofre,2
319, 1103,1
320, thalgodermil,1
321, display.product*hrl_2001*sapatosverdescomfivelasetaxas-evelyneton,3
322, display.product*lon_4103*botinesenpielcamelydetallesdorados-luisonofre,5
323,display.product*lon_4009*stilletosengamuzadepielcolorcremaydetallesdorados-luisonofre,1
324, display.product*ljv_0477*contourrollbarmount,3
325,cinza,1
326, display.product*ljv_0125*radioduchec/luzdeledefeitocromoterapia,5
327, display.product*lon_4012*intensebluesuedeopentoeswithgoldenaccents-luisonofre,2
328, display.product*ljv_0988*rimaxprofessionalrecorder-kitdevigilancia,1
329,lifestyle,1
330, /ljv-contacts,16
331, display.product*ljv_0214*camaraherogoprohelmethd(hdhelmethero)-ofertadecartaode32gb,2
332, display.product*ljv_0058*levitronomega-amagiadacienciaemsuacasa!,2
333, /lon_en-customer-support,4
334, sabrina,1
335, display.product*chc_0031*sapatosrosavelho-chocolatenegro,3
336, /stx-legal,3
337, deluxe,3
338, /?gclid+co6lpfgvxq0cfuqmfaodthgxfw,1
339,azulecastanho,1
340, /?gclid+ci2ruq7t0k0cfcmmtaodojqklw,1
341, 1110,2
342, display.product*ljv_0249*rimaxusbmultimediacharger-carregadormultimedia,1
343, display.product*lon_4314*malaemcamurcaverdeseco-luisonofre,14
344, /sales/order/view/order_id/2777/,1
345, /?gclid+cnimy5q6yk0cfs9itaodrb1zgq,1
346, order.finalized*200000370*order.subtotal*19.90,1
347, display.product*ljv_0990*sistemadealarmewireless-segurancagarantida!,1
348, display.product*tlg_0144*shockanti-idade-efeitobotox,4
349, lon_4108,85
350, display.product*sam_0134*aramon2netbookcross-over11,1
351, star,1
352,gopro,1
353,6polegadas-preto,1
354, /catalogo,1
355, 4006,2
356, 3207,2
357, rollbarmount,1
358, display.product*lon_1038*sandaliasluisonofreemcamurcaecetimpreto,4
359,gravaaudioevideo,3
360,display.product*lon_4502*botairiscomstilettodouradoluisonofre,6
361, /rimax_baby_kangoo_child_guard/prod620.html?gclid+cjfsvbuqtk0cfyemtaodenarwa,1
362,display.product*rev_0146*cuecasbikinireverieintimatecombordadocommicrofibraembranco,1
363, cart.addproduct*ljv_0530*880.0000,1
364, sandalias,28
365, lon_4505,7
366,display.product*lon_4012*opentoeemcamurcaazulintensoedetalhesdourados-luisonofre,4
367, display.product*tlg_0029*cremethalgosculptexpert,3
368, display.product*ljv_0242*supermotard49cc-mini-mota,5
369, display.product*lon_4304*carteiraempelecamelcomaplicacoesdouradas-luisonofre,3
370, display.product*lon_4301*malaempelocreme-luisonofre,2
371, display.product*lon_4402*sabrinasempelopretoecristaisswarovski-luisonofre,16
372,newsletter.subscription*joana.v.alvares@gmail.com,1
373, display.product*ljv_0513*vasosolarrecarregavel,5
374, display.product*lon_4107*botinesenpielmarronmogno-luisonofre,7
375, display.product*ljv_0379*grabbagkitdefixacaop/camaragopro-kit1,3
376, /customer/account/forgotpassword/,13
377, display.product*msy_0002*stilettovermelho-misssixty,4
378, productlegend*ljv_0070*link5,10
379, display.product*sbt_0024*sandaliaempelepretaepiton-sambapati,1
380, display.product*sam_0027*termospinner77cm-azul,1
381, /sales/order/view/order_id/2827/,1
382, display.product*tkj_0023*pulseirajoannadourada,2
383, display.product*ljv_0359*painelsolarmaximapotencia-60watts,7
384, styar,1
385, display.product*ljv_0051*joebot-orobotentertainermaishilariante,2
386, display.product*ljv_0529*focoprojector1led12w12vbrancoquente,43
387, display.product*lon_0003*sandaliasluisonofrepitonverdecomcristaisswarovski,3
388, display.product*tkj_0022*pulseirajoannadourada,1
389, display.product*ljv_5000*cheque-ofertaloja21,3
390, display.product*brx_0004*botimempeletexturada-bronx,3
391, display.product*ljv_0021*relogiomp4c/radio-visualizevideosefotografias,16
392,productlegend*ljv_0524*link5,1
393, noiva,4
394, /sabrinas-e-mocassins/mocassins/mocassins-luis-onofre-em-pele-textura-piton.html,1
395, /botas/botas-de-salto/botas-em-pele-castanho-chocolate-luis-onofre-10168.html,1
396, display.product*hrl_2013*botinscastanhoscomatilhos-florencefrock,2
397,/?gclid+cksm7eyv0q0cfcsktaoddmw8lg,1
398,pddimage*ljv_0345*link3,10
399, display.product*pbr_3068*botimempelepreta-paulobrandao,1
400,pddtitle*ljv_0185*link2,5
401, /sales/order/shipment/order_id/2686/,1
402,pddtitle*ljv_0530*link2,10
403, 41120,1
404, cart.addproduct*lon_3700*137.0000,1
405, display.product*sam_0011*cosmolitebeautycase-vermelho,1
406, display.product*lon_1105*malaluisonofreemcamurcavermelha,1
407, /?gclid+cod_mpor3a0cfquofaoddwbzlg,1
408, /sales/order/shipment/order_id/2687/,1
409, agua,1
410, display.product*lon_4111*botinesenpielpitonnegra-luisonofre,9
411, suctioncup,1
412,display.product*frz_0017*sapatosabotinadoscomsolaemborracha-furiezza,1
413, 3202,2
414, display.product*lon_2115*botasluisonofreempelepretaeswarovskisaltosquadrados,10
415, lon*remove*pdd,1
416, /lon-about-us,4
417, display.product*pls_0009*sandaliaspretasmini-plataformacomdetalhedebrilhantes,1
418, /muu-contacts,1
419, boostercollagene,1
420, /?gclid+cnoziq_ow60cfuhrfaodn19fbq,1
421, suplementos,4
422, grabb,1
423, display.product*hrl_2022*botinspretoscomelasticoslaterais-vivienvim,1
424, display.product*lon_3100*luisonofreleathersandalswithpinkfeatherandmetalapplication,1
425, posbarba,1
426, packs,4
427,link2,2
428, display.product*ljv_0095*caixadigitalherohd-caixaestanquedeadaptacaoaopulso,2
429, display.product*ljv_0188*drinkinggame'spinnshot',1
430, order.finalized*500000081*order.subtotal*105.00,1
431, display.product*ljv_0413*t-qualizerdjlight-upt-shirt,1
432, productlegend*ljv_0464*link5,14
433, tdt,1
434, paulobrandao,14
435, /?gclid+cmdsh-h5z60cfcsktaoddmw8lg,1
436, display.product*sam_0106*funnyfacesspicypurse-joaninha,1
437, /botins/botins-em-pele-com-efeito-cruzado-luis-onofre-10147.html,1
438, display.product*lon_2137*botasluisonofreenpieltaupeylycra,4
439,display.product*lon_3121*sandaliasluisonofreempelepiton,1
440, display.product*ljv_0097*caixahd-acessoriogopro,1
441, display.product*lon_2144*botasdemontarluisonofreenpielmarronconbordado,1
442, display.product*hrl_2025*botaspretascompespontos-colettecloak,1
443,ballerinas,1
444, display.product*tlg_0307*concentradosilicio,1
445,display.product*lon_4116*botinsopentoeempelepiton-luisonofre,4
446, pddtitle*ljv_0185*link2,8
447,robots,5
448, /lon-contacts?t+zdahd3mpn20813jswsbpkxodqn7ili4a&c+lon%2apdd19012012,1
449, display.product*eas_0005*sapatopitoncomlacobeje-egidioalves,19
450, 3093,1
451, stiletoscamurcaverdeedetalhesdouradosluisonofre,1
452, 3163,2
453, display.product*lon_3410*sabrinasluisonofreempelecremecomdetalhedeflor,7
454,display.product*ljv_0280*microfonegsm220v-oucatudoatravesdeumafichatripla,1
455, display.product*gls_0059*berloquecoleccaowish,1
456, display.product*ljv_0367*solarbulb-agregadordeenergiasolar,5
457, 4304,1
458, /?gclid+cotgzkyg0a0cfwqntaodxippmw,1
459,green21,6
460, 2437,1
461, display.product*nic_0015*pumpsempelepretacomsaltometalico,2
462,pddtitle*ljv_0873*link2,1
463, acessoriosdiversos,5
464, leitor,1
465, display.product*lon_4212*botasenpielnegraydetallesdorados-luisonofre,3
466, /?gclid+cnjc4ojqw60cfyuifaod625rbg,1
467,orderonline*ljv_0458*link4,1
468, display.product*lon_4101*botinsopentoeempeleiris-luisonofre,18
469, display.product*lon_4115*botinescaballeroenpielnegraydetallesmetalicos-luisonofre,2
470,/review/customer/,1
471, display.product*tlg_0009*gelduchemarinho,1
472,kitparacolocacaonasuacamarahero,2
473, display.product*ljv_0063*ponteirolaser,1
474,/?gclid+ck_pn4n44a0cfuntfaod8fs49q,1
475, display.product*ljv_0358*painelsolarcompacto-aproveiteaenergiadosol!,6
476, cheque-oferta,27
477, /userfiles/file/carregador_compacto/instruction_manual.pdf,1
478, /?t+cgwho4ilj3fddkpulgt9558j504f7uww&c+lon%2apdd27012012,1
479, soro,1
480, /botas.html,1
481, display.product*ljv_0285*personalpocketsafe-mantenhaosseusdadossempreseguros!,3
482, pddtitle*ljv_0528*link2,13
483, display.product*ljv_0271*detectordemetaisc/ajustamentoeligacaoauscultadores,1
484, cuidados,7
485, display.product*hrl_2014*sapatospretoscomdrapeado-florencefile,2
486,lon_2119,12
487,productlegend*ljv_0345*link5,5
488, display.product*lon_4502*botasirisconstilettodorado-luisonofre,4
489, display.product*tml_0001*sandaliaspeep-toepink-timeless,2
490, comando,1
491, order.finalized*1500000484*order.subtotal*135.00,1
492, display.product*lon_3205*sandaliasflatluisonofreemgangadenimeswarovski,1
493, display.product*ckl_0013*botasdesaltoaltokaracomdetalhesempele-calvinklein,11
494, display.product*pls_0066*stiletosvermelhos-pleaserusa,1
495, display.product*ljv_0509*quirky-broomgroomer,6
496, display.product*snl_0049*sapatosazuisemcamurca-sinela,3
497, /?t+2ung7cmf3ec1r4hqhhu0s572g2r5vbza&c+lon%2apdd19012012,1
498, botties,13
499, 1007,1
500, /lon_pt-legal,1
501, display.product*lon_4114*botinesdecunaengamuzadepielnegraydetallesdorados-luisonofre,1
502, order.finalized*300001357*order.subtotal*420.00,1
503, display.product*ljv_0202*drikingludo-jogotradicionalludocomcopos,2
504, /customer/account/edit/changepass/1/,4
505,pddimage*ljv_0021*link3,1
506, display.product*pbr_2017*pumpscamurcabegeeazulcomlacoedetalhesdourados,1
507,display.product*ljv_0358*painelsolarcompacto-aproveiteaenergiadosol!,1
508, mochila,1
509, /?gclid+cknpxpgyxq0cfcehtaod1np8iq,1
510, anti-estrias,1
511, display.product*lon_2146*botasrasasluisonofreempelecanomuitoalto,9
512, display.product*ljv_0458*leitormp3aprovadeagua-formatogelbanho,17
513, carteira,2
514, /?gclid+cpve-amt-q0cfe4htaodthpatg,1
515, modelosdescontinuados,4
516, display.product*ljv_0355*mini-carromovidoahidrogenio?comkitdemontagem,6
517, gelduchemarinho,1
518, headmount,1
519, /?gclid+cpy8mzhl1k0cfuhrfaodu0zana,1
520, display.product*lon_4002*pumpsemcamurcaverdeescuro-luisonofre,30
521, display.product*tlg_0062*balsamovitalcomoleodeolivabio,2
522, 4506,1
523, /sales/order/shipment/order_id/2749/,1
524, display.product*ljv_0433*camaraipwirelessdevideovigilanciac/audiobi-direccionaleinfravermelhos,3
525, pddimage*ljv_0070*link3,21
526, display.product*tlg_0073*sororeguladorintenso,1
527, porta-chaves,6
528, display.product*lon_7054*chapeuluisonofrecinzento,1
529, display.product*pbr_2790*botasempelepretacomaplicacaodefivelaemonograma,5
530, display.product*lon_4306*malaempeletexturadabordeaux-luisonofre,24
531, /?gclid+cj687njv3k0cfeshtaodsblwsa,1
532,display.product*ljv_0464*cleaningrobotdavileda,11
533, /onestepcheckout/,35
534, display.product*sam_0090*ppcabincollectionupright50cm-azul,1
535, /?gclid+cnbp8dkaxq0cfcmmtaodm2bngw,1
536,/muu-contacts,1
537, lon_4013,85
538,display.product*ljv_0182*camaraipwirelessdevideovigilanciac/audiobi-direccional,1
539,display.product*lon_4007*pumpsempelecomaplicacaodefloremcristaisswarovski-luisonofre,4
540, contactpage,5
541, display.product*lon_3002*luisonofrepumpsindenimandswarovskicrystals,1
542, display.product*tlg_0057*desmaquilhantemarinhocomflordelaranjeira,1
543, display.product*sam_0124*b-liteupright75cm-azul,1
544, order.subtotal*214*order.incrementid*300001281,1
545, display.product*lon_4503*botasenpielmiel-luisonofre,6
546, display.product*lon_4000*opentoesemcamurcacremeedetalhesdourados-luisonofre,26
547, 0454,1
548, display.product*ljv_0351*greenenergyp/telemoveleipodc/lanternadeled,3
549, 1113,2
550, 4009,1
551, /sales/order/view/order_id/2791/,2
552, display.product*lon_4400*creamballerinaswithswarovskicrystalflower-luisonofre,1
